slovo, a, b, c, d, e, f
B, 8.87, 61.52, 11.56, 24.07, 17.74, 71.16
C, 23.08, 69.26, 84.29, 34.01, 46.16, 9.5
B, 40.52, 66.58, 41.27, 33.52, 81.04, 9.808
A, 20.7, 80.56, 81.24, 57.54, 41.4, 20.7
C, 92.4, 84.87, 4.51, 10.33, 184.8, 37.42
B, 80.95, 99.84, 36.07, 74.8, 161.9, 11.553
C, 96.91, 3.55, 39.23, 5.58, 193.82, 5.04
B, 12.95, 54.97, 96.5, 85.45, 25.9, 9.278
C, 15.25, 91.72, 42.27, 99.5, 30.5, 29.753
B, 4.33, 69.16, 82.96, 43.18, 8.66, 29.292
B, 52.38, 80.09, 88.89, 29.54, 104.76, 7.565
A, 67.93, 80.78, 4.48, 88.33, 135.86, 67.93
C, 80.96, 86.49, 91.53, 8.68, 161.92, 6.9
B, 21.71, 47.19, 17.23, 100.97, 43.42, 15.285
B, 45.74, 23.58, 69.09, 69.52, 91.48, 5.285
C, 92.2, 92.89, 72.88, 36.43, 184.4, 7.441
A, 53.37, 13.98, 64.43, 34.85, 106.74, 53.37
C, 31.15, 16.94, 66.67, 53.22, 62.3, 5.226
C, 93.56, 69.16, 38.84, 43.45, 187.12, 7.4
B, 27.13, 34.08, 25.89, 69.18, 54.26, 7.737
B, 6.59, 64.56, 56.59, 24.58, 13.18, 25.188
C, 53.24, 85.9, 21.63, 87.74, 106.48, 17.04
A, 8.99, 28.49, 80.14, 89.13, 17.98, 8.99
A, 2.93, 4.14, 77.64, 75.12, 5.86, 2.93
B, 98.81, 55.74, 91.89, 65.13, 197.62, 5.607
A, 17.02, 39.16, 31.35, 60.41, 34.04, 17.02
A, 46.33, 26.22, 64.01, 48.17, 92.66, 46.33
A, 24.67, 50.36, 22.14, 19.78, 49.34, 24.67
A, 85.12, 98.71, 69.69, 43.65, 170.24, 85.12
A, 98.29, 16.2, 57.68, 82.14, 196.58, 98.29
B, 39.77, 29.7, 95.05, 10.24, 79.54, 5.386
B, 76.0, 80.48, 86.02, 49.5, 152.0, 6.846
B, 25.92, 70.44, 47.26, 50.76, 51.84, 12.404
C, 47.63, 70.24, 21.45, 24.82, 95.26, 13.821
B, 14.84, 85.43, 28.05, 43.37, 29.68, 37.92
B, 97.46, 79.18, 17.96, 31.63, 194.92, 11.654
C, 35.45, 39.28, 5.53, 49.51, 70.9, 18.247
C, 25.82, 84.89, 3.54, 74.66, 51.64, 152.873
C, 10.66, 5.29, 96.91, 99.38, 21.32, 5.214
A, 31.9, 99.9, 64.71, 75.62, 63.8, 31.9
B, 62.37, 69.39, 49.29, 100.62, 124.74, 7.857
C, 63.81, 72.03, 43.44, 38.04, 127.62, 8.432
A, 20.96, 2.87, 88.21, 15.5, 41.92, 20.96
C, 37.05, 67.45, 87.5, 31.5, 74.1, 7.552
B, 65.51, 93.13, 20.57, 45.16, 131.02, 17.233
A, 20.79, 100.69, 96.55, 62.93, 41.58, 20.79
C, 67.09, 62.99, 97.41, 8.31, 134.18, 6.094
C, 91.6, 38.59, 73.09, 17.84, 183.2, 5.376
, 51.7, 51.53, 76.13, 72.16, 103.4, 6.183
C, 71.13, 55.12, 34.59, 24.43, 142.26, 7.182
A, 93.34, 28.1, 83.74, 13.48, 186.68, 93.34
A, 55.75, 45.39, 58.99, 87.91, 111.5, 55.75
B, 65.07, 5.24, 100.26, 82.4, 130.14, 5.037
A, 30.2, 99.77, 82.8, 37.56, 60.4, 30.2
C, 46.33, 28.02, 57.95, 64.94, 92.66, 5.477
C, 77.05, 16.55, 23.41, 55.16, 154.1, 5.236
A, 88.98, 36.07, 23.07, 63.21, 177.96, 88.98
A, 15.65, 85.45, 32.0, 2.42, 31.3, 15.65
B, 74.92, 3.54, 65.16, , 149.84, 5.045
C, 98.69, 14.04, 67.3, 73.92, 197.38, 5.051
A, 26.44, 24.27, 93.65, 25.87, 52.88, 26.44
A, 59.08, 13.52, 65.97, 69.4, 118.16, 59.08
A, 20.8, 25.67, 60.99, 24.61, 41.6, 20.8
C, 10.71, 70.99, 4.1, 15.78, 21.42, 214.88
B, 77.47, 99.7, 22.93, 29.07, 154.94, 15.738
A, 8.97, 23.55, 73.09, 39.0, 17.94, 8.97
A, 7.07, 43.07, 57.0, 43.18, 14.14, 7.07
A, 34.32, 69.82, 9.91, 7.68, 68.64, 34.32
C, 8.95, 27.44, 33.42, 82.4, 17.9, 9.065
A, 82.75, 28.19, 69.96, 22.09, 165.5, 82.75
C, 49.54, 84.7, 94.51, 6.5, 99.08, 7.875
C, 36.81, 30.27, 70.38, 78.57, 73.62, 5.583
B, 29.06, 42.84, 11.4, 56.88, 58.12, 14.441
B, 18.55, 68.9, 74.71, 95.05, 37.1, 11.245
C, 16.79, 13.0, 44.33, 91.21, 33.58, 5.374
A, 65.99, 22.96, 28.1, 76.05, 131.98, 65.99
A, 76.8, 24.9, 79.57, 55.53, 153.6, 76.8
B, 51.31, 77.52, 66.39, 81.45, 102.62, 8.269
A, 76.33, 10.38, 60.49, 10.48, 152.66, 76.33
B, 64.88, 99.01, 94.71, 94.39, 129.76, 8.06
B, 56.34, 16.07, 72.02, 41.03, 112.68, 5.106
C, 38.49, 24.64, 18.41, 39.37, 76.98, 6.361
B, 59.08, 4.48, 99.02, 48.56, 118.16, 5.044
B, 77.46, 19.49, 9.39, 67.93, 154.92, 5.807
C, 6.03, 6.32, 98.63, 83.65, 12.06, 5.351
C, 50.08, 74.85, 94.81, 19.33, 100.16, 7.177
B, 71.23, 56.73, 93.5, 58.0, 142.46, 5.859
B, 74.51, 77.79, 26.66, 8.71, 149.02, 10.645
B, 17.06, 17.8, 37.36, 34.61, 34.12, 5.782
B, 38.25, 56.13, 12.97, 2.23, 76.5, 16.239
B, 96.52, 34.59, 15.73, 28.04, 193.04, 6.306
C, 65.64, 41.88, 63.49, 24.05, 131.28, 5.718
B, 86.72, 84.58, 12.72, 72.18, 173.44, 17.159
C, 73.73, 59.44, 81.42, 59.31, 147.46, 6.052
C, 28.49, 35.83, 36.93, 10.45, 56.98, 7.036
B, 51.58, 11.27, 90.31, 69.98, 103.16, 5.057
B, 1.68, 88.38, 15.52, 60.56, 3.36, 570.13
A, 64.52, 77.83, 66.31, 54.92, 129.04, 64.52
C, 39.64, 34.45, 33.89, 92.35, 79.28, 6.466
B, 24.07, 90.05, 56.83, 63.6, 48.14, 16.216
B, 31.68, 26.66, 98.78, 36.92, 63.36, 5.374
C, 23.16, 23.19, 95.97, 79.23, 46.32, 5.397
A, 63.36, 96.3, 77.92, 53.8, 126.72, 63.36
B, 8.09, 52.64, 25.09, 53.82, 16.18, 28.952
B, 67.66, 49.55, 50.43, 21.69, 135.32, 6.254
C, 66.86, 85.87, 43.43, 25.71, 133.72, 9.772
B, 70.36, 90.68, 64.56, 61.2, 140.72, 8.429
A, 100.63, 75.35, 7.69, 95.06, 201.26, 100.63
C, 80.28, 38.77, 18.94, 39.93, 160.56, 6.664
C, 19.37, 88.15, 15.8, 93.25, 38.74, 52.879
A, 56.69, 99.95, 89.28, 53.46, 113.38, 56.69
B, 47.47, 32.8, 51.13, 84.24, 94.94, 5.734
C, 85.78, 97.41, 1.04, 76.28, 171.56, 208.415
C, 41.34, 60.85, 25.59, 51.4, 82.68, 11.267
C, 69.94, 25.51, 36.11, 69.36, 139.88, 5.414
C, 99.16, 71.23, 45.1, 39.1, 198.32, 7.077
A, 41.22, 57.16, 83.63, 66.72, 82.44, 41.22
A, 86.47, 41.01, 95.39, 77.74, 172.94, 86.47
A, 66.65, 10.04, 65.5, 93.24, 133.3, 66.65
A, 81.12, 93.21, 98.08, 45.09, 162.24, 81.12
A, 35.45, 35.7, 58.4, 49.21, 70.9, 35.45
B, 66.05, 57.84, 20.21, 75.4, 132.1, 9.455
A, 12.25, 69.71, 84.64, 33.74, 24.5, 12.25
B, 59.23, 48.78, 7.59, 34.52, 118.46, 14.184
C, 80.89, 96.98, 76.4, 55.33, 161.78, 7.91
A, 66.54, 63.34, 7.21, 20.84, 133.08, 66.54
A, 59.53, 82.18, 22.64, 5.31, 119.06, 59.53
A, 59.85, 69.13, 55.1, 70.47, 119.7, 59.85
B, 57.24, 14.6, 23.68, 22.9, 114.48, 5.245
A, 40.45, 63.01, 52.85, 31.33, 80.9, 40.45
C, 68.79, 87.18, 45.02, 49.3, 137.58, 9.622
B, 24.0, 30.45, 6.17, 5.13, 48.0, 15.175
B, 96.86, 59.6, 19.64, 5.33, 193.72, 8.334
C, 93.38, 83.98, 79.22, 56.98, 186.76, 6.787
C, 14.56, 21.87, 51.89, 39.04, 29.12, 6.012
A, 25.14, 41.77, 75.31, 45.02, 50.28, 25.14
A, 11.84, 88.08, 38.01, 44.47, 23.68, 11.84
C, 23.38, 52.53, 95.89, 68.9, 46.76, 7.165
C, 20.38, 44.01, 8.02, 72.45, 40.76, 25.265
C, 98.59, 33.74, 31.36, 43.04, 197.18, 5.61
C, 47.47, 62.36, 75.98, 63.31, 94.94, 6.939
C, 41.86, 12.77, 14.71, 34.67, 83.72, 5.404
A, 31.19, 7.78, 96.75, 68.8, 62.38, 31.19
B, 94.86, 87.24, 11.41, 39.94, 189.72, 18.241
A, 40.69, 10.27, 51.98, 69.04, 81.38, 40.69
B, 38.46, 57.67, 69.75, 23.56, 76.92, 7.206
C, 96.37, 60.12, 56.01, 6.49, 192.74, 6.198
A, 53.56, 18.79, 44.72, 61.99, 107.12, 53.56
C, 93.34, 85.58, 52.09, 49.03, 186.68, 7.83
A, 24.25, 1.32, 63.64, 55.7, 48.5, 24.25
A, 92.14, 97.87, 53.7, 30.23, 184.28, 92.14
C, 2.49, 89.08, 89.83, 83.86, 4.98, 72.036
C, 7.76, 36.83, 69.76, 3.18, 15.52, 9.211
B, 75.11, 32.84, 84.14, 15.13, 150.22, 5.284
A, 63.77, 18.84, 36.65, 28.31, 127.54, 63.77
C, 76.4, 76.52, 74.1, 68.35, 152.8, 6.913
C, 75.67, 11.6, 5.4, 86.18, 151.34, 5.493
A, 42.55, 64.56, 70.74, 12.26, 85.1, 42.55
B, 49.4, 93.15, 69.27, 7.74, 98.8, 9.821
C, 64.05, 69.33, 78.43, 81.04, 128.1, 6.746
C, 49.17, 93.74, 33.22, 68.9, 98.34, 15.234
B, 26.54, 9.75, 58.26, 46.16, 53.08, 5.125
B, 48.86, 42.74, 3.94, 92.99, 97.72, 21.159
B, 71.57, 15.16, 75.3, 90.29, 143.14, 5.073
C, 62.54, 53.17, 43.43, 93.58, 125.08, 6.83
C, 22.91, 69.97, 61.78, 92.42, 45.82, 11.319
B, 96.19, 57.85, 26.39, 4.87, 192.38, 7.344
A, 22.6, 12.91, 49.98, 19.6, 45.2, 22.6
B, 20.5, 59.15, 2.66, 46.69, 41.0, 119.347
A, 53.54, 63.92, 35.53, 53.07, 107.08, 53.54
B, 22.78, 36.12, 18.12, 29.2, 45.56, 10.266
B, 13.37, 65.75, 45.3, 78.86, 26.74, 17.923
A, 18.45, 79.8, 76.66, 79.74, 36.9, 18.45
C, 60.96, 86.7, 9.92, 30.47, 121.92, 28.386
B, 16.14, 1.55, 8.43, 25.05, 32.28, 5.495
B, 56.9, 5.38, 23.87, 47.01, 113.8, 5.067
C, 60.91, 81.67, 98.31, 86.44, 121.82, 7.08
A, 10.24, 16.87, 70.77, 81.11, 20.48, 10.24
C, 35.12, 96.0, 25.34, 59.86, 70.24, 24.767
B, 5.67, 30.49, 4.67, 79.15, 11.34, 62.024
A, 98.64, 39.46, 32.29, 31.14, 197.28, 98.64
A, 18.64, 12.52, 95.85, 72.4, 37.28, 18.64
A, 98.74, 70.14, 45.68, 65.21, 197.48, 98.74
C, 10.67, 10.15, 75.04, 42.07, 21.34, 5.272
B, 49.37, 35.76, 85.95, 83.12, 98.74, 5.506
C, 32.85, 41.67, 27.0, 74.04, 65.7, 8.328
B, 97.73, 34.38, 23.53, 23.26, 195.46, 5.852
C, 24.18, 20.2, 38.03, 94.48, 48.36, 5.701
B, 99.55, 77.86, 64.16, 33.57, 199.1, 6.76
B, 4.35, 16.74, 44.46, 100.76, 8.7, 7.298
B, 72.16, 26.09, 62.4, 1.4, 144.32, 5.246
C, 41.1, 99.3, 27.19, 25.27, 82.2, 21.923
C, 69.53, 12.17, 76.78, 13.09, 139.06, 5.052
B, 16.33, 37.84, 68.79, 75.51, 32.66, 7.149
C, 100.28, 83.95, 72.31, 99.37, 200.56, 6.821
C, 27.1, 15.83, 51.49, 75.01, 54.2, 5.29
C, 39.41, 44.42, 6.64, 37.52, 78.82, 17.911
C, 15.43, 19.15, 59.02, 80.17, 30.86, 5.646
B, 20.95, 87.24, 81.04, 60.4, 41.9, 13.446
B, 7.43, 48.06, 31.48, 90.68, 14.86, 22.116
B, 55.93, 36.02, 10.64, 31.49, 111.86, 8.629
B, 71.21, 86.38, 77.66, 81.84, 142.42, 7.538
A, 88.4, 17.44, 94.77, 99.76, 176.8, 88.4
C, 18.3, 99.47, 55.22, 63.22, 36.6, 23.786
C, 13.97, 38.22, 9.13, 42.87, 27.94, 24.206
A, 29.96, 28.1, 98.04, 82.43, 59.92, 29.96
C, 56.94, 12.79, 8.45, 61.59, 113.88, 5.511
C, 97.08, 47.4, 78.05, 80.41, 194.16, 5.515
B, 39.08, 15.52, 48.59, 53.16, 78.16, 5.205
C, 9.79, 92.98, 60.43, 42.12, 19.58, 32.773
B, 50.4, 32.28, 66.78, 16.1, 100.8, 5.513
A, 32.56, 71.93, 81.78, 41.62, 65.12, 32.56
A, 49.36, 86.12, 47.91, 91.76, 98.72, 49.36
B, 22.68, 85.49, 16.86, 86.98, 45.36, 40.888
B, 58.8, 34.93, 42.86, 100.18, 117.6, 5.806
A, 17.51, 81.8, 77.03, 14.36, 35.02, 17.51
A, 54.35, 26.89, 70.73, 14.46, 108.7, 54.35
B, 46.76, 89.83, 22.39, 76.95, 93.52, 19.574
A, 26.01, 31.66, 18.14, 26.29, 52.02, 26.01
A, 17.9, 84.3, 14.46, 57.31, 35.8, 17.9
B, 31.54, 20.53, 91.94, 10.0, 63.08, 5.239
C, 88.81, 73.66, 97.79, 100.57, 177.62, 6.15
B, 88.75, 94.13, 15.51, 3.27, 177.5, 17.252
A, 16.76, 15.91, 43.34, 15.11, 33.52, 16.76
A, 65.48, 88.89, 85.5, 93.28, 130.96, 65.48
B, 56.82, 18.37, 96.97, 51.19, 113.64, 5.103
A, 21.25, 24.28, 72.58, 62.33, 42.5, 21.25
B, 3.18, 70.83, 54.4, 69.14, 6.36, 58.058
C, 96.01, 74.25, 77.02, 61.82, 192.02, 6.374
A, 56.21, 82.61, 2.66, 2.76, 112.42, 56.21
B, 93.15, 74.0, 22.8, 4.59, 186.3, 9.745
C, 33.22, 79.27, 78.99, 26.76, 66.44, 9.452
B, 60.33, 97.95, 91.93, 18.47, 120.66, 8.313
A, 34.15, 9.67, 59.4, 71.88, 68.3, 34.15
B, 14.26, 88.31, 80.87, 97.12, 28.52, 17.762
C, 20.42, 61.96, 68.15, 8.0, 40.84, 9.956
C, 82.02, 43.37, 13.66, 86.32, 164.04, 7.868
B, 6.41, 25.96, 70.82, 33.26, 12.82, 7.415
A, 72.33, 9.2, 65.41, 98.86, 144.66, 72.33
C, 91.17, 6.15, 9.13, 68.35, 182.34, 5.094
C, 95.84, 42.49, 61.74, 25.35, 191.68, 5.522
A, 11.73, 7.18, 34.01, 100.63, 23.46, 11.73
B, 65.46, 58.25, 63.49, 18.59, 130.92, 6.455
B, 51.41, 22.81, 20.28, 36.63, 102.82, 5.788
C, 6.38, 28.09, 97.12, 23.39, 12.76, 7.098
B, 78.55, 95.49, 70.24, 12.44, 157.1, 8.153
A, 46.25, 41.06, 84.86, 37.56, 92.5, 46.25
A, 29.56, 93.56, 22.24, 21.05, 59.12, 29.56
B, 71.17, 31.38, 57.48, 25.92, 142.34, 5.397
B, 22.45, 47.19, 78.05, 13.62, 44.9, 7.203
A, 56.91, 3.49, 2.88, 60.7, 113.82, 56.91
A, 54.36, 42.47, 5.85, 77.67, 108.72, 54.36
C, 68.2, 66.85, 58.85, 64.27, 136.4, 7.021
B, 23.12, 72.95, 16.53, 66.12, 46.24, 30.568
C, 26.69, 43.35, 100.72, 8.89, 53.38, 6.201
A, 27.49, 38.96, 27.83, 85.5, 54.98, 27.49
B, 35.0, 60.15, 56.65, 17.35, 70.0, 8.264
A, 10.37, 86.35, 75.17, 25.81, 20.74, 10.37
C, 33.74, 64.19, 58.02, 60.59, 67.48, 8.799
C, 58.76, 55.49, 95.65, 90.92, 117.52, 5.971
A, 64.36, 63.92, 45.18, 35.93, 128.72, 64.36
B, 60.68, 71.4, 87.38, 15.48, 121.36, 6.762
C, 85.33, 81.69, 72.94, 24.01, 170.66, 7.002
C, 56.76, 88.65, 12.11, 17.58, 113.52, 26.578
C, 70.3, 61.04, 36.34, 65.08, 140.6, 7.613
B, 93.72, 11.92, 85.5, 73.53, 187.44, 5.035
C, 61.09, 83.58, 51.43, 27.83, 122.18, 9.163
A, 31.02, 63.25, 38.88, 100.11, 62.04, 31.02
A, 91.21, 83.67, 98.8, 66.8, 182.42, 91.21
C, 31.82, 59.16, 37.35, 15.16, 63.64, 10.253
C, 27.9, 24.83, 11.29, 94.6, 55.8, 8.102
A, 17.82, 6.27, 35.43, 50.96, 35.64, 17.82
C, 7.67, 75.97, 72.78, 20.47, 15.34, 24.105
A, 35.77, 99.33, 18.43, 12.03, 71.54, 35.77
A, 58.22, 45.82, 40.08, 8.3, 116.44, 58.22
A, 69.44, 85.04, 70.16, 33.68, 138.88, 69.44
C, 68.55, 78.35, 41.09, 34.65, 137.1, 9.043
B, 26.31, 71.38, 31.62, 11.73, 52.62, 16.214
A, 61.93, 40.1, 58.58, 64.03, 123.86, 61.93
A, 73.33, 51.66, 22.06, 22.61, 146.66, 73.33
C, 57.1, 11.72, 13.93, 54.46, 114.2, 5.266
B, 68.33, 51.78, 4.14, 61.4, 136.66, 21.581
B, 48.7, 8.21, 74.53, 74.79, 97.4, 5.052
A, 79.14, 98.71, 59.52, 2.28, 158.28, 79.14
B, 2.86, 51.84, 48.66, 44.71, 5.72, 38.841
B, 72.0, 17.38, 11.19, 3.14, 144.0, 5.575
A, 50.66, 46.92, 83.1, 27.89, 101.32, 50.66
C, 59.51, 56.63, 80.62, 83.81, 119.02, 6.187
C, 94.36, 55.1, 23.12, 75.13, 188.72, 7.458
C, 38.67, 31.86, 3.03, 73.76, 77.34, 19.161
A, 36.68, 30.56, 85.15, 83.49, 73.36, 36.68
B, 72.76, 73.4, 13.82, 29.65, 145.52, 14.847
B, 96.97, 82.77, 74.83, 87.38, 193.94, 6.766
B, 2.92, 95.8, 69.43, 44.04, 5.84, 91.403
C, 23.24, 37.2, 7.78, 80.3, 46.48, 17.787
B, 37.77, 5.2, 32.81, 50.91, 75.54, 5.084
C, 69.3, 16.64, 22.08, 20.01, 138.6, 5.281
A, 60.34, 20.96, 38.4, 78.32, 120.68, 60.34
B, 38.34, 39.93, 61.05, 16.0, 76.68, 6.155
A, 72.67, 62.08, 22.8, 85.39, 145.34, 72.67
A, 47.54, 69.75, 8.92, 19.26, 95.08, 47.54
A, 34.37, 56.86, 75.07, 76.2, 68.74, 34.37
B, 31.34, 64.74, 38.73, 38.31, 62.68, 11.238
A, 97.87, 32.49, 28.51, 5.23, 195.74, 97.87
A, 100.93, 89.6, 85.3, 94.56, 201.86, 100.93
A, 54.81, 41.82, 92.21, 39.4, 109.62, 54.81
B, 6.83, 7.82, 36.43, 45.61, 13.66, 5.52
C, 3.25, 14.89, 97.74, 25.05, 6.5, 6.23
B, 72.19, 46.51, 88.5, 3.65, 144.38, 5.586
B, 75.74, 84.28, 19.81, 100.89, 151.48, 13.872
B, 11.03, 72.93, 70.5, 41.38, 22.06, 17.568
C, 67.22, 85.47, 19.8, 83.13, 134.44, 15.306
B, 56.92, 34.12, 94.82, 57.23, 113.84, 5.361
B, 92.59, 81.49, 55.57, 97.07, 185.18, 7.408
B, 24.62, 96.81, 76.44, 23.15, 49.24, 14.52
C, 48.95, 82.98, 89.41, 65.25, 97.9, 7.944
C, 41.76, 53.7, 5.92, 96.36, 83.52, 25.511
A, 97.5, 83.92, 55.43, 63.02, 195.0, 97.5
C, 13.41, 1.37, 49.25, 19.64, 26.82, 5.562
B, 40.17, 34.15, 28.27, 57.52, 80.34, 6.701
A, 22.06, 79.75, 51.47, 23.69, 44.12, 22.06
C, 10.46, 13.13, 31.98, 15.04, 20.92, 5.817
C, 65.04, 63.33, 10.31, 74.49, 130.08, 15.765
B, 69.06, 28.21, 70.97, 47.02, 138.12, 5.266
C, 90.06, 89.13, 89.99, 76.99, 180.12, 6.852
B, 33.59, 73.66, 5.04, 63.82, 67.18, 63.919
B, 92.36, 96.29, 69.88, 93.7, 184.72, 7.744
A, 65.85, 71.92, 86.66, 91.88, 131.7, 65.85
C, 36.9, 33.96, 8.36, 51.09, 73.8, 11.17
C, 34.09, 70.83, 45.31, 41.79, 68.18, 10.942
C, 43.65, 76.23, 67.87, 20.86, 87.3, 8.626
B, 86.39, 93.36, 40.12, 77.05, 172.78, 9.782
C, 5.41, 97.29, 52.63, 22.26, 10.82, 68.582
B, 85.18, 22.78, 68.59, 44.68, 170.36, 5.144
B, 26.76, 72.88, 26.85, 87.79, 53.52, 18.574
B, 4.09, 86.64, 86.87, 32.07, 8.18, 44.767
C, 40.09, 77.36, 97.23, 18.81, 80.18, 7.845
C, 9.53, 24.38, 57.34, 16.9, 19.06, 6.753
C, 19.91, 55.22, 92.76, 73.97, 39.82, 7.923
C, 10.4, 77.06, 90.83, 52.4, 20.8, 16.642
A, 85.47, 35.05, 56.64, 14.57, 170.94, 85.47
B, 56.0, 30.14, 79.11, 40.88, 112.0, 5.338
A, 45.98, 59.2, 31.21, 100.48, 91.96, 45.98
A, 23.29, 15.46, 42.88, 59.56, 46.58, 23.29
B, 31.83, 46.44, 21.31, 92.42, 63.66, 10.483
C, 90.38, 78.06, 69.56, 92.04, 180.76, 6.798
A, 48.88, 17.67, 58.78, 92.5, 97.76, 48.88
C, 43.03, 37.1, 27.68, 56.57, 86.06, 6.935
A, 37.26, 3.8, 3.76, 37.81, 74.52, 37.26
B, 97.55, 94.24, 34.81, 51.38, 195.1, 9.98
B, 17.41, 21.01, 79.02, 33.46, 34.82, 5.522
A, 39.39, 63.59, 44.76, 91.18, 78.78, 39.39
B, 5.8, 77.73, 34.83, 79.53, 11.6, 60.42
B, 88.48, 20.42, 13.33, 6.07, 176.96, 5.551
C, 70.97, 34.38, 55.6, 95.44, 141.94, 5.499
A, 41.44, 82.68, 37.5, 36.46, 82.88, 41.44
A, 92.4, 100.24, 75.21, 100.69, 184.8, 92.4
A, 3.39, 81.87, 74.13, 59.6, 6.78, 3.39
C, 71.85, 18.68, 52.49, 44.25, 143.7, 5.149
C, 39.13, 25.88, 58.85, 29.97, 78.26, 5.472
A, 37.08, 1.54, 59.79, 81.76, 74.16, 37.08
C, 79.96, 45.6, 63.98, 23.5, 159.92, 5.701
C, 75.0, 59.29, 50.62, 88.47, 150.0, 6.653
C, 4.27, 68.95, 9.09, 25.42, 8.54, 228.084
B, 27.65, 13.07, 17.29, 71.39, 55.3, 5.546
C, 8.44, 79.32, 68.34, 87.44, 16.88, 25.277
C, 85.26, 30.84, 19.71, 16.99, 170.52, 5.925
C, 76.57, 12.6, 42.43, 71.52, 153.14, 5.082
A, 24.07, 32.64, 41.64, 33.99, 48.14, 24.07
B, 70.36, 4.34, 14.74, 31.36, 140.72, 5.071
A, 3.59, 20.87, 88.82, 45.76, 7.18, 3.59
C, 43.9, 43.66, 25.17, 17.06, 87.8, 7.951
B, 80.83, 85.94, 19.39, 39.43, 161.66, 13.855
C, 61.24, 49.5, 69.6, 58.13, 122.48, 6.002
C, 21.9, 73.1, 54.29, 17.68, 43.8, 13.259
A, 20.23, 58.15, 67.91, 32.38, 40.46, 20.23
B, 19.46, 39.84, 30.95, 35.63, 38.92, 9.454
B, 55.88, 77.31, 16.1, 48.69, 111.76, 17.299
B, 36.06, 31.42, 67.01, 52.91, 72.12, 5.675
B, 83.12, 59.52, 64.98, 49.67, 166.24, 6.172
C, 82.96, 14.07, 55.49, 85.52, 165.92, 5.072
B, 90.03, 80.16, 94.03, 66.56, 180.06, 6.414
C, 75.98, 88.28, 57.8, 78.35, 151.96, 8.348
B, 15.98, 56.46, 45.61, 65.44, 31.96, 12.754
A, 2.91, 26.48, 81.25, 75.19, 5.82, 2.91
C, 7.4, 85.12, 38.87, 29.04, 14.8, 52.276
A, 61.31, 35.21, 85.23, 91.0, 122.62, 61.31
B, 98.79, 84.12, 37.87, 46.29, 197.58, 8.544
A, 24.61, 35.86, 95.59, 19.2, 49.22, 24.61
C, 46.69, 89.78, 16.74, 74.14, 93.38, 24.499
A, 77.39, 45.67, 7.8, 19.12, 154.78, 77.39
B, 99.18, 100.64, 52.77, 33.94, 198.36, 8.719
C, 31.32, 34.41, 65.23, 23.57, 62.64, 5.966
C, 50.78, 52.34, 45.94, 59.54, 101.56, 7.061
B, 73.33, 85.05, 72.16, 59.72, 146.66, 7.566
C, 49.85, 1.27, 87.47, 90.94, 99.7, 5.167
A, 37.45, 90.27, 76.42, 24.47, 74.9, 37.45
C, 50.12, 53.86, 15.91, 10.78, 100.24, 11.402
A, 68.8, 93.48, 61.89, 93.35, 137.6, 68.8
B, 27.11, 70.27, 24.39, 43.13, 54.22, 18.642
B, 27.35, 34.33, 13.48, 92.24, 54.7, 10.287
B, 78.34, 96.37, 62.11, 44.0, 156.68, 8.646
A, 48.31, 43.01, 87.69, 71.79, 96.62, 48.31
A, 4.95, 59.46, 79.45, 8.78, 9.9, 4.95
C, 87.9, 59.2, 39.03, 22.22, 175.8, 6.823
A, 91.49, 31.55, 72.41, 46.34, 182.98, 91.49
B, 15.47, 79.59, 28.27, 87.82, 30.94, 31.927
A, 17.32, 67.88, 60.91, 85.44, 34.64, 17.32
C, 90.87, 45.57, 33.28, 46.4, 181.74, 6.182
C, 87.81, 79.15, 3.19, 18.17, 175.62, 46.537
C, 90.53, 11.51, 60.7, 16.63, 181.06, 5.045
C, 77.45, 76.03, 28.5, 87.57, 154.9, 9.838
C, 6.03, 34.81, 31.07, 65.99, 12.06, 15.74
B, 68.98, 84.71, 76.83, 49.49, 137.96, 7.54
B, 22.33, 5.15, 86.63, 91.67, 44.66, 5.106
A, 92.93, 68.66, 74.0, 78.37, 185.86, 92.93
B, 78.43, 93.89, 63.02, 88.21, 156.86, 8.395
A, 52.45, 78.04, 60.39, 15.84, 104.9, 52.45
C, 8.02, 14.98, 60.21, 2.42, 16.04, 5.766
C, 76.55, 84.1, 91.08, 34.14, 153.1, 6.902
B, 30.74, 2.2, 79.03, 76.44, 61.48, 5.156
C, 66.33, 3.12, 66.81, 17.78, 132.66, 5.056
A, 81.89, 58.29, 24.79, 36.17, 163.78, 81.89
A, 62.56, 89.34, 43.45, 2.35, 125.12, 62.56
C, 92.89, 89.98, 58.85, 31.1, 185.78, 7.802
B, 30.84, 69.94, 90.58, 18.49, 61.68, 8.2
A, 39.6, 83.63, 21.28, 87.15, 79.2, 39.6
C, 81.11, 82.15, 52.56, 87.2, 162.22, 7.957
B, 50.69, 61.54, 7.32, 26.7, 101.38, 23.295
C, 25.33, 50.11, 16.14, 65.87, 50.66, 15.7
A, 9.52, 92.66, 2.86, 3.66, 19.04, 9.52
C, 72.46, 25.96, 66.09, 27.75, 144.92, 5.229
C, 6.16, 10.02, 79.88, 74.07, 12.32, 5.446
C, 13.06, 88.73, 39.85, 61.95, 26.12, 33.559
C, 53.7, 72.48, 34.57, 1.6, 107.4, 10.193
B, 54.91, 10.4, 97.93, 17.08, 109.82, 5.047
C, 74.04, 65.35, 87.24, 34.94, 148.08, 6.197
